id,kind,severity,reason,age_minutes,breaking_count,ticker_items,duration_ms,db_error,path,detail,created_at
1c7f341a-e890-4e8e-9056-06155dceac80,client_alert,critical,content_critical,28951,,8,,,/,"{""animated"": true}",2026-08-02 12:58:28.574073+00
1f8bed39-ceae-48f7-95ce-882208b03260,client_alert,critical,content_critical,28951,,8,,,/,"{""animated"": true}",2026-08-02 12:59:09.021729+00
8cf62f33-ff14-4de2-9de8-fa395f0704f2,client_alert,critical,content_critical,28956,,8,,,/,"{""animated"": true}",2026-08-02 13:04:12.988943+00
8a6d445b-b434-4a62-b4be-3a5560ce515d,client_alert,critical,content_critical,28749,,8,,,/,"{""animated"": true}",2026-08-02 13:04:51.095509+00
91eb1571-f412-4060-834e-141e1c058b83,client_alert,critical,content_critical,28957,,8,,,/,"{""animated"": true}",2026-08-02 13:05:11.652882+00
593ad305-09c1-43cf-ac95-517c832022d7,client_alert,critical,content_critical,28958,,8,,,/,"{""animated"": true}",2026-08-02 13:05:27.878486+00
c80d0654-c218-462a-9239-3c2faae52e39,client_alert,critical,content_critical,28750,,8,,,/,"{""animated"": true}",2026-08-02 13:06:27.780627+00
e5fe4ce7-13bb-4112-ac07-7c5a9a365bac,client_alert,critical,content_critical,28959,,8,,,/,"{""animated"": true}",2026-08-02 13:06:45.72984+00
730a2d62-1075-4436-8392-2093a328d5a0,client_alert,critical,content_critical,28753,,8,,,/,"{""animated"": true}",2026-08-02 13:09:01.845271+00
f8e9dcae-ed69-45ac-a493-002beff8ca3f,client_alert,critical,content_critical,28753,,8,,,/,"{""animated"": true}",2026-08-02 13:09:18.483362+00
53cd2a1d-a3b4-4491-8d8f-277c8e815951,client_alert,critical,content_critical,28962,,8,,,/,"{""animated"": true}",2026-08-02 13:09:26.575476+00
8ead9714-705b-4a1f-97a2-6c1e71023b29,client_alert,critical,content_critical,28962,,8,,,/,"{""animated"": true}",2026-08-02 13:09:45.97565+00
089c4756-d1e8-4e36-8cb8-a4e82372de4b,client_alert,critical,content_critical,28754,,8,,,/,"{""animated"": true}",2026-08-02 13:10:14.557653+00
f7f6851e-973c-4b1a-91da-50ac70630a51,client_alert,critical,content_critical,28963,,8,,,/,"{""animated"": true}",2026-08-02 13:10:46.003671+00
aa33a044-dd8a-4444-869c-1fb39fb59790,client_alert,critical,content_critical,28761,,8,,,/,"{""animated"": true}",2026-08-02 13:16:48.76653+00
e622381e-c221-47e4-8834-9adb12bee1af,client_alert,critical,content_critical,28761,,8,,,/,"{""animated"": true}",2026-08-02 13:16:52.216257+00
26bf36b8-ce0c-4f2e-bd2b-d13797060821,client_alert,critical,content_critical,28764,,8,,,/,"{""animated"": true}",2026-08-02 13:20:16.799404+00
b40f2d09-687f-47eb-bda1-316b06e5bd6d,client_alert,critical,content_critical,28764,,8,,,/,"{""animated"": true}",2026-08-02 13:20:16.865351+00
673297d6-93f4-4741-8e29-7a19af2b2fae,client_alert,critical,content_critical,28973,,8,,,/,"{""animated"": true}",2026-08-02 13:20:17.456228+00
2eb3dd12-4d2b-46ea-ba19-6223a7f193b4,client_alert,critical,content_critical,28973,,8,,,/,"{""animated"": true}",2026-08-02 13:20:24.165295+00
e8acaa08-73aa-465e-bf15-b45e58954bd0,client_alert,critical,content_critical,28764,,8,,,/,"{""animated"": true}",2026-08-02 13:20:29.535116+00
acf157d9-0410-4ea8-b788-37465121c62a,client_alert,critical,content_critical,28764,,8,,,/,"{""animated"": true}",2026-08-02 13:20:29.835565+00
9b3fc5d5-d811-471a-aa94-533722d3b70e,client_alert,critical,content_critical,28973,,8,,,/,"{""animated"": true}",2026-08-02 13:20:30.290485+00
ceca20aa-d14d-4aa9-a96c-0f150e59a48c,client_alert,critical,content_critical,28973,,8,,,/,"{""animated"": true}",2026-08-02 13:21:08.565428+00
d8fd9040-30a4-4149-a7d4-08987a53738a,client_alert,critical,content_critical,28974,,8,,,/,"{""animated"": true}",2026-08-02 13:21:45.121373+00
a146c5c6-c656-49fb-8eb7-58fb529910c0,client_alert,critical,content_critical,28766,,8,,,/,"{""animated"": true}",2026-08-02 13:22:10.975335+00
7130cafb-a2e9-4c76-b8e3-f0ec4044905a,client_alert,critical,content_critical,28975,,8,,,/,"{""animated"": true}",2026-08-02 13:22:47.775797+00
d09943e4-0558-43ae-9252-c828e9a3ef33,client_alert,critical,content_critical,28978,,8,,,/,"{""animated"": true}",2026-08-02 13:25:16.022992+00
ef17c654-df62-4f81-b6cc-f0b3942d84c5,client_alert,critical,content_critical,28978,,8,,,/,"{""animated"": true}",2026-08-02 13:25:53.015945+00
616bf9d1-61e2-4ee3-83d1-209d425e88d3,client_alert,critical,content_critical,28979,,8,,,/,"{""animated"": true}",2026-08-02 13:26:32.236604+00
aa652706-1d5f-4fab-b7d1-3c7114320769,client_alert,critical,content_critical,28979,,8,,,/,"{""animated"": true}",2026-08-02 13:26:58.926529+00
d81039c9-78d5-4b6e-860f-98826a238bb7,client_alert,critical,content_critical,28980,,8,,,/,"{""animated"": true}",2026-08-02 13:27:38.206459+00
e0e2a47b-6bfb-48bc-bf3b-f0b10dd9ba87,client_alert,critical,content_critical,28773,,8,,,/,"{""animated"": true}",2026-08-02 13:28:48.863912+00
105e3a48-cc71-4cb6-a276-ae68e06e5399,client_alert,critical,content_critical,28982,,8,,,/,"{""animated"": true}",2026-08-02 13:29:27.617522+00
91822470-77df-4dd9-baba-0fbf6547d08d,client_alert,critical,content_critical,28982,,8,,,/,"{""animated"": true}",2026-08-02 13:29:30.378446+00
cf143f73-864f-4ec1-96b6-7d9403776c85,client_alert,critical,content_critical,28773,,8,,,/,"{""animated"": true}",2026-08-02 13:29:31.659487+00
